P2,P1,E,Pch,Pdis,Demand,Emax,SolarGen,Pdumped
0.0,20.22,10.0,0.0,0.0,20.22,200.0,0.0,0.0
0.0,19.07,10.0,0.0,0.0,19.08,200.0,0.0,0.0
0.0,18.31,10.0,0.0,0.0,18.31,199.99,0.0,0.0
0.0,17.55,10.0,0.0,0.0,17.55,199.99,0.0,0.0
0.0,17.55,10.0,0.0,0.0,17.55,199.98,0.0,0.0
0.0,17.55,10.0,0.0,0.0,17.55,199.98,0.0,0.0
0.0,20.6,10.0,0.0,0.0,20.6,199.98,0.0,0.0
0.0,21.45,10.0,0.0,0.0,22.89,199.97,1.44,0.0
0.0,14.17,10.0,0.0,0.0,26.24,199.97,12.06,0.0
0.0,2.45,10.0,0.0,0.0,27.47,199.97,25.02,0.0
0.0,0.0,10.0,9.05,0.0,27.85,199.96,36.9,0.0
0.0,0.0,17.24,16.88,0.0,29.38,199.96,46.26,0.0
0.0,0.0,30.75,22.2,0.0,29.76,199.96,51.96,0.0
0.0,0.0,48.51,25.33,0.0,28.61,199.95,53.94,0.0
0.0,0.0,68.77,25.3,0.0,25.94,199.95,51.24,0.0
0.0,0.0,89.01,19.34,0.0,25.18,199.95,44.52,0.0
0.0,0.0,104.48,9.7,0.0,24.8,199.94,34.5,0.0
0.0,1.82,112.25,0.0,1.22,25.18,199.94,22.14,0.0
0.0,18.66,110.81,0.0,3.2,31.28,199.93,9.42,0.0
0.0,33.94,107.05,0.0,3.85,38.15,199.92,0.36,0.0
0.0,33.25,102.52,0.0,3.75,37.01,199.92,0.0,0.0
0.0,29.27,98.1,0.0,3.54,32.81,199.91,0.0,0.0
0.0,24.5,93.94,0.0,3.35,27.85,199.91,0.0,0.0
0.0,19.71,90.0,0.0,3.18,22.89,199.9,0.0,0.0
0.0,17.11,86.26,0.0,3.11,20.22,199.9,0.0,0.0
0.0,15.95,82.6,0.0,3.13,19.08,199.89,0.0,0.0
0.0,15.13,78.93,0.0,3.18,18.31,199.89,0.0,0.0
0.0,14.29,75.19,0.0,3.25,17.55,199.88,0.0,0.0
0.0,14.13,71.36,0.0,3.41,17.55,199.88,0.0,0.0
0.0,13.92,67.34,0.0,3.63,17.55,199.87,0.0,0.0
0.0,16.41,63.07,0.0,4.19,20.6,199.87,0.0,0.0
0.0,16.68,58.14,0.0,4.77,22.89,199.87,1.44,0.0
0.0,9.77,52.53,0.0,4.4,26.24,199.86,12.06,0.0
0.0,1.29,47.35,0.0,1.16,27.47,199.86,25.02,0.0
0.0,0.0,45.99,9.05,0.0,27.85,199.85,36.9,0.0
0.0,0.0,53.23,16.88,0.0,29.38,199.85,46.26,0.0
0.0,0.0,66.74,22.2,0.0,29.76,199.85,51.96,0.0
0.0,0.0,84.5,25.33,0.0,28.61,199.84,53.94,0.0
0.0,0.0,104.76,25.3,0.0,25.94,199.84,51.24,0.0
0.0,0.0,125.0,19.34,0.0,25.18,199.83,44.52,0.0
0.0,0.0,140.47,9.7,0.0,24.8,199.83,34.5,0.0
