P2,P1,E,Pch,Pdis,Demand,S_max,SolarGen,Pdumped
0.0,20.22,10.0,0.0,0.0,20.22,213.98,0.0,100000.0
0.0,19.07,10.0,0.0,0.0,19.08,0.0,0.0,100000.0
0.0,18.31,10.0,0.0,0.0,18.31,227.87,0.0,100000.0
0.0,17.55,10.0,0.0,0.0,17.55,214.04,0.0,100000.0
0.0,17.55,10.0,0.0,0.0,17.55,699.89,0.0,100000.0
0.0,17.55,10.0,0.0,0.0,17.55,851.35,0.0,100000.0
0.0,20.6,10.0,0.0,0.0,20.6,77.72,0.0,100000.0
0.0,21.45,10.0,0.0,0.0,22.89,498.88,1.44,100000.0
0.0,14.17,10.0,0.0,0.0,26.24,172.26,12.06,100000.0
0.0,2.45,10.0,0.0,0.0,27.47,0.0,25.02,100000.0
0.0,0.0,10.0,9.05,0.0,27.85,162.45,36.9,100000.0
0.0,0.0,17.24,16.88,0.0,29.38,225.03,46.26,100000.0
0.0,0.0,30.75,22.2,0.0,29.76,0.0,51.96,100000.0
0.0,0.0,48.51,25.33,0.0,28.61,324.39,53.94,100000.0
0.0,0.0,68.77,25.3,0.0,25.94,245.14,51.24,100000.0
0.0,0.0,89.01,19.34,0.0,25.18,2.51,44.52,100000.0
0.0,0.0,104.48,9.7,0.0,24.8,0.0,34.5,100000.0
0.0,1.05,112.25,0.0,1.98,25.18,0.0,22.14,100000.0
0.0,13.66,109.91,0.0,8.2,31.28,0.0,9.42,100000.0
0.0,30.74,100.26,0.0,7.05,38.15,851.51,0.36,100000.0
0.0,31.68,91.97,0.0,5.32,37.01,0.0,0.0,100000.0
0.0,28.51,85.71,0.0,4.3,32.81,227.79,0.0,100000.0
0.0,24.17,80.66,0.0,3.68,27.85,245.19,0.0,100000.0
0.0,19.62,76.33,0.0,3.27,22.89,699.96,0.0,100000.0
0.0,17.17,72.49,0.0,3.05,20.22,172.25,0.0,100000.0
0.0,16.12,68.9,0.0,2.95,19.08,871.35,0.0,100000.0
0.0,15.39,65.42,0.0,2.92,18.31,213.97,0.0,100000.0
0.0,14.63,61.99,0.0,2.92,17.55,0.0,0.0,100000.0
0.0,14.55,58.55,0.0,3.0,17.55,1.59,0.0,100000.0
0.0,14.41,55.02,0.0,3.14,17.55,0.0,0.0,100000.0
0.0,17.06,51.33,0.0,3.55,20.6,168.22,0.0,100000.0
0.0,17.46,47.16,0.0,3.99,22.89,224.44,1.44,100000.0
0.0,10.33,42.46,0.0,3.84,26.24,0.0,12.06,100000.0
0.0,1.31,37.94,0.0,1.13,27.47,172.41,25.02,100000.0
0.0,0.0,36.61,9.05,0.0,27.85,0.0,36.9,100000.0
