Hour,"Capacity, A*h","Capacity, %"
1,5.5836,100
2,5.5836,100
3,5.5836,100
4,5.5836,100
5,5.5836,100
6,5.5836,100
7,5.5836,100
8,5.5836,100
9,5.5836,100
10,5.5836,100
11,5.5836,100
12,5.5836,100
13,5.5836,100
14,5.5836,100
15,5.5836,100
16,5.5836,100
17,5.5836,100
18,5.5836,100
19,5.5836,100
20,5.5836,100
21,5.5836,100
22,5.5836,100
23,5.5836,100
24,5.5836,100
25,5.5836,100
26,5.5836,100
27,5.5836,100
28,5.5836,100
29,5.5836,100
30,5.5836,100
31,5.5836,100
32,5.5836,100
33,5.5836,100
34,5.5836,100
35,5.5836,100
36,5.5836,100
37,5.5836,100
38,5.5836,100
39,5.5836,100
40,5.5834,99.9964180815245
41,5.5834,99.9964180815245
42,5.5834,99.9964180815245
43,5.5834,99.9964180815245
44,5.5834,99.9964180815245
45,5.5834,99.9964180815245
46,5.5834,99.9964180815245
47,5.5834,99.9964180815245
48,5.5834,99.9964180815245
49,5.5834,99.9964180815245
50,5.5834,99.9964180815245
51,5.5834,99.9964180815245
52,5.5834,99.9964180815245
53,5.5834,99.9964180815245
54,5.5834,99.9964180815245
55,5.5834,99.9964180815245
56,5.5834,99.9964180815245
57,5.5834,99.9964180815245
58,5.5834,99.9964180815245
59,5.5834,99.9964180815245
60,5.5834,99.9964180815245
61,5.5834,99.9964180815245
62,5.5834,99.9964180815245
63,5.5834,99.9964180815245
64,5.5832,99.9928361630489
65,5.5832,99.9928361630489
66,5.5832,99.9928361630489
67,5.5832,99.9928361630489
68,5.5832,99.9928361630489
69,5.5832,99.9928361630489
70,5.5832,99.9928361630489
71,5.5832,99.9928361630489
72,5.5832,99.9928361630489
73,5.5832,99.9928361630489
74,5.5832,99.9928361630489
75,5.5832,99.9928361630489
76,5.5832,99.9928361630489
77,5.5832,99.9928361630489
78,5.5832,99.9928361630489
79,5.5832,99.9928361630489
80,5.5832,99.9928361630489
81,5.5832,99.9928361630489
82,5.5832,99.9928361630489
83,5.5832,99.9928361630489
84,5.5832,99.9928361630489
85,5.5832,99.9928361630489
86,5.5832,99.9928361630489
87,5.5832,99.9928361630489
88,5.583,99.9892542445734
89,5.583,99.9892542445734
90,5.583,99.9892542445734
91,5.583,99.9892542445734
92,5.583,99.9892542445734
93,5.583,99.9892542445734
94,5.583,99.9892542445734
95,5.583,99.9892542445734
96,5.583,99.9892542445734
